ID_,Title,Subtitle,Version,Genre,Genre2,BPM,Composer,Writer,Arranger,Artist,Singer,PlayTime,Tag,VersionTag,OwnBG,License,Status,Remark,DiscLevel_EZ_NM_HD_MX_SC,UserLevel_EZ_NM_HD_MX_SC,DiscLevel_EZ_NM_HD_MX_SC,UserLevel_EZ_NM_HD_MX_SC,Premium
1,♪_바람에게_부탁해,_,Original,R&B_Fantasy,hr,108,Forte_Escape,Forte_Escape,Forte_Escape,Tako_Ashin,Miya,108,Baram,ORG,own,Pentavision,onair,_,2_3_6_7_99,1_1_1_3_99,2_6_99_8_99,1_6_99_3_99,0
2,♪_아침형_인간,_,Original,80s_8bit,hd,150,ND_Lee,pd_han,ND_Lee,D-myo,Miya,137,Morning,ORG,own,Pentavision,onair,_,2_5_7_99_99,1_5_1_99_99,2_6_9_99_99,1_6_9_99_99,0
3,♪_Funky_Chups,_,Original,Funky_Electro,fj,127,Forte_Escape,none,Forte_Escape,Eyehead,none,94,FunkyChups,ORG,own,Pentavision,onair,_,2_3_5_8_99,1_3_1_3_99,2_4_7_9_99,1_1_1_3_99,0
4,♪_Fever_GJ,_,Original,nu_HnS,hr,98,xxdbxx,xxdbxx,xxdbxx,Eyehead,Silver_Water,128,FeverGJ,ORG,own,Pentavision,onair,_,1_3_6_99_99,1_3_6_99_99,99_5_10_99_99,99_1_10_99_99,0
5,♪_Elastic_Star,_,Original,Acid_House,hd,132,Forte_Escape,JC,Forte_Escape,Eyehead,So_Fly,112,ElasticSTAR,ORG,own,Pentavision,onair,_,1_3_6_9_99,1_3_6_9_99,3_5_9_9_99,1_5_9_9_99,0
6,♪_End_of_the_Moonlight,_,Original,Techno_Pop,te,155,Forte_Escape,Forte_Escape,Forte_Escape,US,Miya,113,EndOfMoon,ORG,own,Pentavision,onair,_,2_4_7_99_13,1_4_7_99_11,4_7_9_99_13,1_7_9_99_11,0
7,♪_Enemy_storm,_,Original,Hard_Core,rh,133,Croove,none,Croove,none,none,120,Enemystorm,ORG,own,Pentavision,onair,_,1_6_9_99_12,1_6_9_99_3,6_11_99_99_13,1_11_99_99_3,0
8,♪_Extreme_Z4,_,Original,Break_Beat,te,152,Forte_Escape,none,Forte_Escape,Kinys,none,101,Extreme,ORG,own,Pentavision,onair,_,1_3_7_99_99,1_1_7_99_99,3_6_10_99_99,1_6_10_99_99,0
9,♪_Jupiter_Driving,_,Original,Techno_Stock,te,144,xxdbxx,none,xxdbxx,Eyehead,none,122,Jupiter,ORG,own,Pentavision,onair,_,2_4_8_99_99,1_4_8_99_99,4_7_10_99_99,1_7_10_99_99,0
10,♪_Luv_Flow,_,Original,R&B_Medium,hr,115,3rd_Coast,JC,3rd_Coast,Ayamy,So_Fly,132,Luvflow,ORG,own,Pentavision,onair,_,1_3_7_12_99,1_1_7_31_99,2_6_11_12_99,1_6_11_31_99,0
